title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Energy Efficiency and Conservation Master Plan up to 2030,"<div>The Energy Efficiency and Conservation Master Plan is a supreme plan of Bangladesh’s initiative on energy efficiency and conservation, of which preparation requirement is stipulated in the Energy Efficiency and Conservation Rules (2014). The Plan declares Bangladesh's unyielding commitment for EE&amp;C implementation</div><div> </div><div>This master plan is developed along 7 policy axes</div><div> </div><ol><li>Energy Management Program for large industrial energy consumers</li><li>Energy Efficiency labelling program for residential consumers based on the following sub steps:</li></ol><ul><li>Label certification / Laboratory accreditation system</li><li>Standardization of EE measurement method and Star Label</li><li>Rating criteria  Star Label Standardization (Unification)</li><li>Participation of manufactures, importers and retail shops (mandatory/voluntary)</li><li>MEPS (Minimum Energy Performance Standard)</li></ul><ol><li>Energy efficiency building program based on the Bangladesh National Building Code (BNBC)</li><li>Energy efficiency &amp; conservation finance program for private companies</li><li>Government own initiatives (Green Purchase Program for Eco-friendly public procurement and obtaining some ISO certifications)</li><li>Energy Consumption Data Collection (by fuel, sector, and energy intensity data)</li><li>Global Warming Countermeasures including the Formulation and quantification of national carbon market; a Carbon abatement project as capacity development; and  Awareness raising.</li></ol><div> </div>",In force,2015,National,International Energy Agency,2015-03-01,2030,http://sreda.gov.bd/files/EEC_Master_Plan_SREDA.pd,English,1741602074342,"[{""iso3"":""BGD"",""name"":""Bangladesh""}]",[],"[""Industry sector-specific processes and technologies""]",[],"[{""topic"":""Industry"",""family"":""Framework legislation"",""name"":""Strategic plans"",""category"":null},{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null},{""topic"":""Industry"",""family"":""Incentives and investments"",""name"":""Government spending for energy efficiency and recycling"",""category"":null}]"
(Saskatchewan) Oil and Gas Emissions Management Regulations,"<div>Sets mandatory methane emission reductions of 4.5 million tonnes CO2e annually by 2025 (this absolute number is in line with the percentage reduction target set out in the Prairie Resilience: A Made-in-Saskatchewan Climate Change Strategy). Focuses on upstream facilities.</div><div> </div><div>As noted in the provincial methane action plan, the requirements are “results-based at the company level, not prescribed on individual facilities or pieces of equipment.” They apply to all companies whose emit at least 50,000 tonnes of CO2e per year. (Part 1 Art 3) </div><div> </div><div>Covered companies must “accurately measure and report” associated gas volumes at oil facilities, in tonnes CO2e. (Art. 6) The rule includes formulae for calculating emissions. (Art. 7)</div><div> </div><div>Every year, the regulator calculates an emissions limit for each company (Art. 8). If a company calculates that they have emitted in excess of that limit (Art. 9), they must pay a penalty for each tonne emitted in excess (Art. 10).</div><div> </div><div>Each company must also submit a methane emissions reduction plan, by 1 September 2019 or within 60 days of doing business in the province. (Art. 11) The Minister reviews each plan and approves it or requires changes, or a new plan. (Art. 12) Once an approved plan is in place, the company must comply with its plan. (Art. 13) Companies can offset their emissions with “qualifying conservation project” credits. (Part V, Art. 14)</div><div> </div><div>The Minister may audit emissions reports from companies (Art. 15) within three years (Art. 17), and assess administrative penalties for corrections that need to be made to the registry. (Art. 16) </div>",In force,2019,State/Provincial,International Energy Agency,2019-01-01,,https://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/oil-and-gas/environmental-protection/oil-and-gas-emissions-management,English,1711629331760,"[{""iso3"":""CAN"",""name"":""Canada""}]","[{""country"":""CA"",""code"":""SK"",""name"":""Saskatchewan""}]",[],"[""Methane tracker""]","[{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Methane abatement"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":""Oil and natural gas extraction""},{""topic"":""Methane abatement"",""family"":""Information-based policies"",""name"":""Emissions estimates and quantification"",""category"":""Oil and natural gas extraction""},{""topic"":""Methane abatement"",""family"":""Economic policies"",""name"":""Emissions trading schemes and certified reduction credits"",""category"":""Oil and natural gas extraction""}]"
SE 154/93 on the provisions of the Environmental Management Manual of Conventional Thermal Power Plants,"<div>Resolution SE 154/93 defines requirements for any power generation company to comply with air pollutant limits, notably: </div><ul><li>For oil boiler: SO2 are to be less than or equat to 1,700 mg/Nm3 and PM at 140 mg/Nm3; </li><li>For gas boiler: PM emissions must be less than or equal to 6 mg/Nm3;</li><li>For coal boiler: SO2 emission values ​​must be less than or equal to 1,700 mg/Nm3 and PM at 120 mg/Nm3.<br>Companies have the requirement to install continuous detectors for SO2, NOx and PM concentrations, with the exception of units with a capacity lower than 50 MW, for which measurements can be carried out every month. </li></ul>",In force,1993,National,International Energy Agency,1993-05-27,,https://www.argentina.gob.ar/economia/energia/energia-electrica/estadisticas/se-15493,,1719302027097,"[{""iso3"":""ARG"",""name"":""Argentina""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Directive 2010/75/EU on industrial emissions - power generation installations limits,"<div>The Industrial Emissions Directive aims to achieve a high level of protection of human health and the environment taken as a whole by reducing harmful industrial emissions across the EU. The Directive regulates over 50,000 of the EU's largest industrial installations, including energy industries, production and processing of metals, minerals and chemicals and waste management (Annex I). These installations must operate in accordance with a permit with conditions that are aligned with the principles and provisions of the Directive.<br><br>Emission limit values for combustion plants for which permit was granted before January 2013 range from: </div><ul><li><strong>Coal, lignite and solid fuels</strong>: SO2 to be limited to 200-400 mg/Nm3 // NOx to 200-450 mg/Nm3</li><li><strong>Biomass</strong>: SO2 to be limited to 200 mg/Nm3 //  NOx to 200-300 mg/Nm3</li><li><strong>Peat</strong>: SO2 to be limited to 200-300 mg/Nm3 //  NOx to 200-300 mg/Nm3</li><li><strong>Liquid fuels</strong>: SO2 to be limited to 200-350 mg/Nm3 //  NOx to 150-450 mg/Nm3</li><li><strong>Gaseaous fuels</strong>: SO2 to be limited to 35 mg/Nm3 (with the exception of gas turbines and gas engines) //  NOx to 100-200 mg/Nm3 // CO to 100 mg/Nm3. </li></ul><div>For the remaining plants, emission limit values range from: </div><ul><li><strong>Coal, lignite and solid fuels</strong>: SO2 to be limited to 150-400 mg/Nm3 // NOx to 200-450 mg/Nm3</li><li><strong>Biomass</strong>: SO2 to be limited to 150-200 mg/Nm3 //  NOx to 150-250 mg/Nm3</li><li><strong>Peat</strong>: SO2 to be limited to 150-300 mg/Nm3 //  NOx to 150-250 mg/Nm3</li><li><strong>Liquid fuels</strong>: SO2 to be limited to 150-350 mg/Nm3 //  NOx to 100-300 mg/Nm3</li><li><strong>Gaseaous fuels</strong>: SO2 to be limited to 35 mg/Nm3 (with the exception of gas turbines and gas engines) //  NOx to 50-100 mg/Nm3 // CO to 100 mg/Nm3. </li></ul><div><br></div><div>The directive was amended in 2022 to provide tighter pollutant emission limit values and extend the scope of industrial facilities. </div>",In force,2010,International,International Energy Agency,2010-11-24,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02010L0075-20110106,,1719323415136,"[{""iso3"":""HUN"",""name"":""Hungary""},{""iso3"":""IRL"",""name"":""Ireland""},{""iso3"":""ITA"",""name"":""Italy""},{""iso3"":""LUX"",""name"":""Luxembourg""},{""iso3"":""ISL"",""name"":""Iceland""},{""iso3"":""AUT"",""name"":""Austria""},{""iso3"":""NLD"",""name"":""Netherlands""},{""iso3"":""NOR"",""name"":""Norway""},{""iso3"":""POL"",""name"":""Poland""},{""iso3"":""PRT"",""name"":""Portugal""},{""iso3"":""SVK"",""name"":""Slovak Republic""},{""iso3"":""ESP"",""name"":""Spain""},{""iso3"":""BEL"",""name"":""Belgium""},{""iso3"":""SWE"",""name"":""Sweden""},{""iso3"":""LIE"",""name"":""Liechtenstein""},{""iso3"":""LTU"",""name"":""Lithuania""},{""iso3"":""LVA"",""name"":""Latvia""},{""iso3"":""MLT"",""name"":""Malta""},{""iso3"":""ROU"",""name"":""Romania""},{""iso3"":""SVN"",""name"":""Slovenia""},{""iso3"":""BGR"",""name"":""Bulgaria""},{""iso3"":""HRV"",""name"":""Croatia""},{""iso3"":""CYP"",""name"":""Cyprus""},{""iso3"":""CZE"",""name"":""Czech Republic""},{""iso3"":""DNK"",""name"":""Denmark""},{""iso3"":""EST"",""name"":""Estonia""},{""iso3"":""FIN"",""name"":""Finland""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""DEU"",""name"":""Germany""},{""iso3"":""GRC"",""name"":""Greece""},{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Decree 13 establishing emission standards for thermoelectric plants,<div>This decree aims at providing norms and limits on air pollutants for power generation installations. <br>The maximum emission limits for existing installations were: </div><ul><li>Solid fuels: SO2 to 400 mg/Nm3 // NOx to 500 mg/Nm3 // PM to 50 mg/Nm3. </li><li>Liquid fuels: SO2 to 30 mg/Nm3 // NOx to 200 mg/Nm3 // PM to 30 mg/Nm3.</li><li>Gas: NOx to 50 mg/Nm3. </li></ul><div>The maximum emission limits for new installations are: </div><ul><li>Solid fuels: SO2 to 200 mg/Nm3 // NOx to 200 mg/Nm3 // PM to 30 mg/Nm3. </li><li>Liquid fuels: SO2 to 10 mg/Nm3 // NOx to 120 mg/Nm3 // PM to 30 mg/Nm3.</li><li>Gas: NOx to 50 mg/Nm3. </li></ul><div>Emissions for mercury for existing and new emission sources that use coal or petcoke are limited to 0.1 mg/Nm3. </div>,In force,2011,National,International Energy Agency,2011-01-18,,https://www.bcn.cl/leychile/navegar?idNorma=1026808,,1719311008883,"[{""iso3"":""CHL"",""name"":""Chile""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Ultra-Low Emission and Energy-Saving Transformation Work Plan for Coal-Fired Power Plants,"<div>The Action Plan for Energy Conservation and Emission Reduction of Coal-fired Power aoùs at promoting the implmentation of ""ultra-low emissions"" coal power plants, with air pollutant limits for new installations to be complying with the following norms: </div><ul><li>SO2: 35 mg/m3</li><li>NOx: 50 mg/m3</li><li>PM: 10 mg/m3</li><li>Hg: 30 mg/m3</li></ul><div>From 2020 onwards,  all coal-fired power plants in the country that are eligible for retrofitting shall strive to achieve the emissions limits implemented for new installations. </div>",In force,2015,National,International Energy Agency,2015-01-01,,https://www.mee.gov.cn/gkml/hbb/bwj/201512/W020151215366215476108.pdf,,1719312300859,"[{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Resolution 909/2008 establishing the norms and standards for permissible emissions of pollutants into the air,"<div>This regulation sets standards for air pollutants of industrial installation, including power generation. <br><br>The standards are as follow: </div><ul><li>SO2: 550 mg/m3 for existing installations // 500  mg/m3 for new installations</li><li>NOx: 550 mg/m3 for existing installations // 500  mg/m3 for new installations</li><li>PM: 250 mg/m3 for existing installations // 150  mg/m3 for new installations</li></ul><div>The regulation also includes norms for F gases (HF, HCI, HCT). </div>",In force,2008,National,International Energy Agency,2008-06-05,,https://www.minambiente.gov.co/wp-content/uploads/2021/08/resolucion-909-de-2008.pdf,,1719314997171,"[{""iso3"":""COL"",""name"":""Colombia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Executive Regulation N°165 For Air Quality,"<div>The regulation aims at implementing the air quality rules, standards, requirements and controls set in the 2020 Environment Law. It notably sets standards for air pollutnats by industrial activities, including combustion facilities.<br>Installations built before September 2005 follow the below standards: </div><ul><li>SO2: 340 ng/J</li><li>NOx: 86 ng/J (gas fired) // 130 ng/J (oil fired)</li><li>PM: 13 ng/J</li></ul><div>Installations set after September 2005 follow the below standards: </div><ul><li>SO2: 340 ng/J</li><li>NOx: 43 ng/J (gas fired) // 69 ng/J (oil fired)</li><li>PM: 13 ng/J</li></ul><div>The above estimates relate to electric utility steam generating units operated on fossil fuel with more than 250 MBTU/h (73 MW) electrical output, but the regulation set granular differences between industrial installations. </div>",In force,2021,National,International Energy Agency,2021-06-09,,https://www.mewa.gov.sa/en/InformationCenter/DocsCenter/RulesLibrary/Docs/Executive%20Regulations%20for%20Air%20Quality.pdf,,1719317431950,"[{""iso3"":""SAU"",""name"":""Saudi Arabia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Norm NS 05-062 on air pollution,"<div>The aim of this regulation is set norms and standards with regards to air pollution. <br>Standards for existing and new stationary installations varies with the fuel used and the generation capacity, and are displayed as follow: </div><ul><li>SO2: 2000 mg/nm3</li><li>NOx: 165-300 mg/nm3</li><li>CO: 450-650 mg/nm3</li><li>Dust: 50 mg/nm3</li></ul>",In force,2003,National,International Energy Agency,2003-10-28,,https://faolex.fao.org/docs/pdf/sen54266.pdf,,1719318217111,"[{""iso3"":""SEN"",""name"":""Senegal""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Standards B.E. 2566 for controlling air emissions from power plants,"<div>Thailand updated its air pollutant emissions standards in 2023, with applicable norms depending on the age of the installation and its fuel.<br><br>Air emission standards for new power plants are as follows: </div><ul><li>Coal: SO2 limit to 260 mg / m3 // NOx to 180 mg / m3 // PM to 50 mg / m3 // Hg to 0.03 mg / m3</li><li>Gasoline:  SO2 limit to 50 mg / m3 // NOx to 130 mg / m3 // PM to 30 mg / m3 </li><li>Natural gas:  SO2 limit to 15 mg / m3 // NOx to 80 mg / m3 // PM to 20 mg / m3 </li><li>Biomass:  SO2 limit to 30 mg / m3 // NOx to 200 mg / m3 // PM to 90 mg / m3 </li><li>Biogas:  SO2 limit to 30 mg / m3 // NOx to 200 mg / m3 // PM to 30 mg / m3 </li></ul><div><br>For power plants licensed to operate before 1996, limits for SO2 are 60-320 mg / m3 // NOx to 200-500 mg / m3 // PM to 120-180 mg / m3<br>For power plants licensed to operate between 1996 and 2010, limits for SO2 are 20-640 mg / m3 // NOx to 120-350 mg / m3 // PM to 60-120 mg / m3<br>For power plants licensed to operate between 2010 and 2023, limits for SO2 are 20-360 mg / m3 // NOx to 120-200 mg / m3 // PM to 60-120 mg / m3<br><br></div>",In force,2023,National,International Energy Agency,2023-10-16,,https://enviliance.com/regions/southeast-asia/th/report_11012,,1719319414980,"[{""iso3"":""THA"",""name"":""Thailand""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
Regulation on Control of Industrial Air Pollution,"<div>The regulation aims at setting controls and standards for air pollutants from industrial installations. <br><br>For thermal power plants with a generation capacity below 100 MW, the following limits apply: </div><ul><li> Gas:  100 mg/nm3 for SO2 // 100 mg/nm3 for CO // 800 mg/nm3 for NOx // 10 mg/nm3 for dust</li><li>Coal:  200 mg/nm3 for SO2 // 100 mg/nm3 for CO // 100 mg/nm3 for dust</li><li>Biogas: 800 mg/nm3 for SO2 // 100 mg/nm3 for CO // 100 mg/nm3 for dust  </li></ul><div>For thermal power plants with a generation capacity above 100 MW, the following limits apply: </div><ul><li> Gas:  60 mg/nm3 for SO2 // 100 mg/nm3 for CO // 500 mg/nm3 for NOx // 10 mg/nm3 for dust</li><li>Coal:  60 mg/nm3 for SO2 // 100 mg/nm3 for CO // 500 mg/nm3 for NOx // 10 mg/nm3 for dust</li><li>Biogas: 800 mg/nm3 for SO2 // 100 mg/nm3 for CO // 500 mg/nm3 for NOx // 10 mg/nm3 for dust  </li></ul>",In force,2009,National,International Energy Agency,2009-07-03,,https://www.mevzuat.gov.tr/mevzuat?MevzuatNo=13184&MevzuatTur=7&MevzuatTertip=5,,1719320833018,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""}]",[],[],[],"[{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null}]"
